iteration,cpu_time,of_value,duality_gap,Variant,seed,max_clique
0,0.0,0.0002977716589198467,0.0006911252938367231,FW,0,26
1,0.022037029266357422,0.00027498401718758413,0.0007871026662301684,FW,0,26
2,0.04330182075500488,0.00022184811325115338,0.0006170189672102823,FW,0,26
3,0.06242680549621582,0.00019943329250516153,0.0005694565695031359,FW,0,26
4,0.08368802070617676,0.00016383053593566112,0.0004708710032352839,FW,0,26
5,0.10733318328857422,0.00013918339982729304,0.00035299412587848074,FW,0,26
6,0.13008999824523926,0.00012364158780666257,0.0003380448940781311,FW,0,26
7,0.1523268222808838,0.00010870391088366552,0.00030153375303536355,FW,0,26
8,0.1708369255065918,9.65883698066638e-05,0.000291409544635152,FW,0,26
9,0.1892411708831787,8.392225886065897e-05,0.00025072433308798213,FW,0,26
10,0.20995497703552246,7.780462797339437e-05,0.00023597096708401216,FW,0,26
11,0.2364790439605713,7.215618434947357e-05,0.00021198306505030464,FW,0,26
12,0.25893187522888184,6.94690245941825e-05,0.00021674415622352603,FW,0,26
13,0.2841987609863281,6.466027890469828e-05,0.00020331338574889953,FW,0,26
14,0.3049600124359131,6.142537649200196e-05,0.00019769125975407939,FW,0,26
15,0.3263859748840332,5.140956999342677e-05,0.0001634134987564487,FW,0,26
16,0.3460841178894043,4.390149170487486e-05,0.00013028421853390163,FW,0,26
17,0.36684584617614746,4.1807594376377626e-05,0.00012533302698965938,FW,0,26
18,0.38754987716674805,4.0408884971327634e-05,0.0001195937913023783,FW,0,26
19,0.40912699699401855,3.96420555742187e-05,0.00011525274270852553,FW,0,26
20,0.4326930046081543,3.761132513418889e-05,0.00010961886705945046,FW,0,26
21,0.4524531364440918,3.370543358265113e-05,9.033490712112348e-05,FW,0,26
22,0.4715418815612793,3.097530028042401e-05,8.773129247517683e-05,FW,0,26
23,0.4962189197540283,2.9671920308088466e-05,8.14772059066804e-05,FW,0,26
24,0.5174179077148438,2.8761468414032474e-05,7.719993509592919e-05,FW,0,26
25,0.5421161651611328,2.7907610880759916e-05,7.185277485783587e-05,FW,0,26
26,0.5653550624847412,2.756152353789217e-05,7.325505921229982e-05,FW,0,26
27,0.5884108543395996,2.656391179301849e-05,6.633569487109919e-05,FW,0,26
28,0.6129159927368164,2.6277698353065384e-05,6.395604294748385e-05,FW,0,26
29,0.641995906829834,2.5640870849212788e-05,6.006412923770301e-05,FW,0,26
30,0.6742310523986816,2.492468706051453e-05,6.047539732473374e-05,FW,0,26
31,0.7054479122161865,2.4289396980590847e-05,5.333742786112479e-05,FW,0,26
