iteration,cpu_time,of_value,duality_gap,Variant,seed,max_clique
0,0.0,0.014624014725603983,0.014292197190061957,FW,0,6
1,0.012936830520629883,0.009873237970178615,0.021335364970684282,FW,0,6
2,0.026089906692504883,0.007279366113171436,0.022824303038423054,FW,0,6
3,0.04143881797790527,0.0060367926877693346,0.02202355818420011,FW,0,6
4,0.052423954010009766,0.0041376855004636075,0.01539985219875847,FW,0,6
5,0.06214499473571777,0.0020565691671411987,0.007412545365001106,FW,0,6
6,0.07281088829040527,0.0016443446025880732,0.004925687822557897,FW,0,6
7,0.08542108535766602,0.001490234229929781,0.003929190386688195,FW,0,6
8,0.10016775131225586,0.0013424178411226553,0.002874609722977016,FW,0,6
9,0.11568689346313477,0.0012527805964257378,0.0021551185546211946,FW,0,6
10,0.12614178657531738,0.0010000557603392123,0.0013521565339345279,FW,0,6
11,0.14192581176757812,0.0009801966927198847,0.001561400411419411,FW,0,6
12,0.15564179420471191,0.0009457935650092312,0.001622550066951127,FW,0,6
13,0.16820883750915527,0.0009235402485282761,0.0017125319535007488,FW,0,6
14,0.18138480186462402,0.0008773977967772497,0.0014741336724112557,FW,0,6
15,0.18924283981323242,0.0007875907657436082,0.0014364216306842822,FW,0,6
16,0.2034759521484375,0.0007487219701412371,0.001558637131829381,FW,0,6
17,0.2183396816253662,0.000699128543362501,0.001439658955558071,FW,0,6
18,0.23318982124328613,0.0006711660142870935,0.0014350318952892629,FW,0,6
19,0.24938178062438965,0.0006257529730141822,0.0013948308988788862,FW,0,6
20,0.2635960578918457,0.0006082776926828669,0.0011734321466173878,FW,0,6
21,0.2790348529815674,0.0005919655772195483,0.001173779389026824,FW,0,6
22,0.2935957908630371,0.0005735982182927013,0.0010662243468904944,FW,0,6
23,0.3079228401184082,0.0005520939242131216,0.001081535265019086,FW,0,6
24,0.320178747177124,0.0005418654661788062,0.0010732702844590471,FW,0,6
25,0.33222198486328125,0.0005231836206572698,0.0008061247303756532,FW,0,6
26,0.34455180168151855,0.0005136819961237068,0.0009056802445023566,FW,0,6
27,0.35629892349243164,0.0004982222844862272,0.0008045629503511189,FW,0,6
28,0.36778998374938965,0.0004888635910809282,0.0007186822834100242,FW,0,6
29,0.37885379791259766,0.00048201193449494916,0.0006134199853344532,FW,0,6
30,0.39156389236450195,0.0004756886677491224,0.0005110689437636229,FW,0,6
31,0.40401196479797363,0.00047299907109749713,0.0005792029392884744,FW,0,6
32,0.41687870025634766,0.0004675459987552572,0.0005988880851081055,FW,0,6
33,0.4293549060821533,0.00046159321391942964,0.0004821373292906168,FW,0,6
34,0.44302988052368164,0.0004568483257494031,0.0003557921481746356,FW,0,6
35,0.45812487602233887,0.00045424851888450126,0.000394331706621076,FW,0,6
36,0.472369909286499,0.00045165739959819736,0.0003061228626604472,FW,0,6
37,0.4867219924926758,0.00044990737683565745,0.00027806063637682787,FW,0,6
38,0.5014688968658447,0.00044881412126139845,0.0002302846976759839,FW,0,6
